date,temperature,precipitation
2023-01-01,30.2,0.1
2023-01-15,33.7,0.0
2023-01-30,26.8,4.8
2023-02-05,38.9,0.0
2023-02-20,43.1,1.9
2023-03-10,53.6,0.0
2023-03-25,58.9,1.3
2023-04-12,66.4,0.0
2023-04-28,70.1,3.4
2023-05-15,76.8,0.0
2023-05-30,80.2,0.7
2023-06-18,86.3,0.0
2023-06-30,89.7,1.0
2023-07-15,93.4,0.0
2023-07-30,96.1,2.2
2023-08-15,94.7,0.0
2023-08-30,91.3,3.8
2023-09-15,83.1,0.0
2023-09-30,77.4,1.6
2023-10-15,66.3,0.0
2023-10-30,60.8,3.0
2023-11-15,50.1,0.0
2023-11-30,44.7,2.4
2023-12-15,36.8,0.0
2023-12-30,32.1,1.7
2024-01-01,31.8,0.0
2024-01-15,34.9,0.0
2024-01-30,27.9,5.0
2024-02-05,39.7,0.0
2024-02-20,44.8,2.2
2024-03-10,54.7,0.0
2024-03-25,59.8,1.4
2024-04-12,67.9,0.0
2024-04-28,71.6,3.6
2024-05-15,77.9,0.0
2024-05-30,81.5,0.9
2024-06-18,87.4,0.0
2024-06-30,90.8,1.1
2024-07-15,94.5,0.0
2024-07-30,97.2,2.4
2024-08-15,95.8,0.0
2024-08-30,92.4,4.0
2024-09-15,84.2,0.0
2024-09-30,78.5,1.7
2024-10-15,67.4,0.0
2024-10-30,61.9,3.2
2024-11-15,51.2,0.0
2024-11-30,45.8,2.6
2024-12-15,37.9,0.0
2024-12-30,33.2,1.8
2025-01-01,32.5,0.0
2025-01-15,35.2,0.0
2025-01-30,28.7,5.2
2025-02-05,40.1,0.0
2025-02-20,45.3,2.1
2025-03-10,55.8,0.0
2025-03-25,60.2,1.5
2025-04-12,68.7,0.0
2025-04-28,72.3,3.7
2025-05-15,78.9,0.0
2025-05-30,82.4,0.8
2025-06-18,88.6,0.0
2025-06-30,92.1,1.2
2025-07-15,95.7,0.0
2025-07-30,98.3,2.5
2025-08-15,96.8,0.0
2025-08-30,93.2,4.1
2025-09-15,85.4,0.0
2025-09-30,79.6,1.8
2025-10-15,68.2,0.0
2025-10-30,62.7,3.3
2025-11-15,52.3,0.0
2025-11-30,46.8,2.7
2025-12-15,38.9,0.0
2025-12-30,34.2,1.9
2026-01-01,33.1,0.0
2026-01-15,35.8,0.0
2026-01-30,29.3,5.4
2026-02-05,40.9,0.0
2026-02-20,46.1,2.3
2026-03-10,56.7,0.0
2026-03-25,61.1,1.6
2026-04-12,69.6,0.0
2026-04-28,73.2,3.9
2026-05-15,79.8,0.0
2026-05-30,83.3,0.9
2026-06-18,89.5,0.0
2026-06-30,93.0,1.3
2026-07-15,96.6,0.0
2026-07-30,99.2,2.7
2026-08-15,97.7,0.0
2026-08-30,94.1,4.3
2026-09-15,86.3,0.0
2026-09-30,80.5,1.9
2026-10-15,69.1,0.0
2026-10-30,63.6,3.5
2026-11-15,53.2,0.0
2026-11-30,47.7,2.9
2026-12-15,39.8,0.0
2026-12-30,35.1,2.1
2027-01-01,33.7,0.0
2027-01-15,36.4,0.0
2027-01-30,29.9,5.6
2027-02-05,41.7,0.0
2027-02-20,46.9,2.5
2027-03-10,57.6,0.0
2027-03-25,62.0,1.8
2027-04-12,70.5,0.0
2027-04-28,74.1,4.1
2027-05-15,80.7,0.0
2027-05-30,84.2,1.0
2027-06-18,90.4,0.0
2027-06-30,93.9,1.5
2027-07-15,97.5,0.0
2027-07-30,100.1,2.9
2027-08-15,98.6,0.0
2027-08-30,95.0,4.5
2027-09-15,87.2,0.0
2027-09-30,81.4,2.1
2027-10-15,69.9,0.0
2027-10-30,64.4,3.7
2027-11-15,54.1,0.0
2027-11-30,48.6,3.1
2027-12-15,40.7,0.0
2027-12-30,36.0,2.3